Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date,Division
Kowloon Cricket Club 13,v,Kinetic 4,Kowloon Cricket Club,19:00:00,,15,30/01/2026,13B
Yuen Long District Sports Association Limited,v,Happy Squash 4,Tai Kiu Market Squash Courts,19:00:00,,15,30/01/2026,13B
Squashathon One,v,Hong Kong Football Club 13,HK Squash Centre,19:00:00,,15,30/01/2026,13B
Fusion Squash Club 3,v,[BYE],,,,15,30/01/2026,13B
Hong Kong Football Club 13,v,Happy Squash 4,Hong Kong Football Club,19:00:00,,16,06/02/2026,13B
Yuen Long District Sports Association Limited,v,Kowloon Cricket Club 13,Yuen Long Jockey Club Squash Courts,19:00:00,,16,06/02/2026,13B
TNG 2,v,Kinetic 4,Cornwall Street Squash Centre,19:00:00,,16,06/02/2026,13B
Electrify Squash Div 13,v,Fusion Squash Club 3,HK Squash Centre,19:00:00,,16,06/02/2026,13B
Squashathon One,v,[BYE],,,,16,06/02/2026,13B
Fusion Squash Club 3,v,Kinetic 4,HK Squash Centre,19:00:00,,17,13/02/2026,13B
TNG 2,v,Yuen Long District Sports Association Limited,Cornwall Street Squash Centre,19:00:00,,17,13/02/2026,13B
Kowloon Cricket Club 13,v,Hong Kong Football Club 13,Kowloon Cricket Club,19:00:00,,17,13/02/2026,13B
Squashathon One,v,Happy Squash 4,Cornwall Street Squash Centre,19:00:00,,17,13/02/2026,13B
Electrify Squash Div 13,v,[BYE],,,,17,13/02/2026,13B
Squashathon One,v,Kowloon Cricket Club 13,Cornwall Street Squash Centre,19:00:00,,18,06/03/2026,13B
Hong Kong Football Club 13,v,TNG 2,Hong Kong Football Club,19:00:00,,18,06/03/2026,13B
Yuen Long District Sports Association Limited,v,Fusion Squash Club 3,Tai Kiu Market Squash Courts,19:00:00,,18,06/03/2026,13B
Electrify Squash Div 13,v,Kinetic 4,HK Squash Centre,19:00:00,,18,06/03/2026,13B
Happy Squash 4,v,[BYE],,,,18,06/03/2026,13B
HKIS Div 13,v,Bravo D13,Java Road Sports Centre,19:00:00,,1,03/10/2025,13C
JSA 1,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,,1,03/10/2025,13C
i-Mask Advance Squash Club 6,v,NEXUS 3,Java Road Sports Centre,19:00:00,,1,03/10/2025,13C
Smart Squash 2,v,Smart Squash 3,Cornwall Street Squash Centre,19:00:00,,1,03/10/2025,13C
Vitality Squash 2,v,[BYE],,,,1,03/10/2025,13C
Bravo D13,v,JSA 1,Yuen Long Jockey Club Squash Courts,19:00:00,,2,10/10/2025,13C
Smart Squash 2,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,2,10/10/2025,13C
HKIS Div 13,v,NEXUS 3,HK Squash Centre,19:00:00,,2,10/10/2025,13C
i-Mask Advance Squash Club 6,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,,2,10/10/2025,13C
Smart Squash 3,v,[BYE],,,,2,10/10/2025,13C
i-Mask Advance Squash Club 6,v,Smart Squash 3,HK Squash Centre,19:00:00,,3,17/10/2025,13C
Vitality Squash 2,v,JSA 1,HK Squash Centre,19:00:00,,3,17/10/2025,13C
HKIS Div 13,v,Smart Squash 2,Harbour Road Sports Centre,19:00:00,,3,17/10/2025,13C
NEXUS 3,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,,3,17/10/2025,13C
Bravo D13,v,[BYE],,,,3,17/10/2025,13C
Smart Squash 3,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,,4,24/10/2025,13C
Smart Squash 2,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,,4,24/10/2025,13C
i-Mask Advance Squash Club 6,v,HKIS Div 13,Java Road Sports Centre,19:00:00,,4,24/10/2025,13C
Vitality Squash 2,v,NEXUS 3,HK Squash Centre,19:00:00,,4,24/10/2025,13C
JSA 1,v,[BYE],,,,4,24/10/2025,13C
Smart Squash 2,v,NEXUS 3,Cornwall Street Squash Centre,19:00:00,,5,31/10/2025,13C
Vitality Squash 2,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,,5,31/10/2025,13C
JSA 1,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00:00,,5,31/10/2025,13C
Bravo D13,v,Smart Squash 3,Yuen Long Jockey Club Squash Courts,19:00:00,,5,31/10/2025,13C
HKIS Div 13,v,[BYE],,,,5,31/10/2025,13C
HKIS Div 13,v,Vitality Squash 2,HK Squash Centre,19:00:00,,6,07/11/2025,13C
Smart Squash 2,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,6,07/11/2025,13C
i-Mask Advance Squash Club 7,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,,6,07/11/2025,13C
JSA 1,v,Smart Squash 3,HK Squash Centre,19:00:00,,6,07/11/2025,13C
NEXUS 3,v,[BYE],,,,6,07/11/2025,13C
i-Mask Advance Squash Club 7,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,7,14/11/2025,13C
JSA 1,v,NEXUS 3,HK Squash Centre,19:00:00,,7,14/11/2025,13C
Smart Squash 3,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,7,14/11/2025,13C
Bravo D13,v,i-Mask Advance Squash Club 6,Yuen Long Jockey Club Squash Courts,19:00:00,,7,14/11/2025,13C
Smart Squash 2,v,[BYE],,,,7,14/11/2025,13C
Vitality Squash 2,v,Bravo D13,HK Squash Centre,19:00:00,,8,21/11/2025,13C
NEXUS 3,v,Smart Squash 3,Cornwall Street Squash Centre,19:00:00,,8,21/11/2025,13C
HKIS Div 13,v,JSA 1,HK Squash Centre,19:00:00,,8,21/11/2025,13C
Smart Squash 2,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,,8,21/11/2025,13C
i-Mask Advance Squash Club 6,v,[BYE],,,,8,21/11/2025,13C
JSA 1,v,Smart Squash 2,HK Squash Centre,19:00:00,,9,28/11/2025,13C
Smart Squash 3,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,9,28/11/2025,13C
NEXUS 3,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,,9,28/11/2025,13C
i-Mask Advance Squash Club 6,v,Vitality Squash 2,Java Road Sports Centre,19:00:00,,9,28/11/2025,13C
i-Mask Advance Squash Club 7,v,[BYE],,,,9,28/11/2025,13C
Bravo D13,v,HKIS Div 13,Yuen Long Jockey Club Squash Courts,19:00:00,,10,12/12/2025,13C
i-Mask Advance Squash Club 7,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025,13C
NEXUS 3,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025,13C
Smart Squash 3,v,Smart Squash 2,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025,13C
Vitality Squash 2,v,[BYE],,,,10,12/12/2025,13C
JSA 1,v,Bravo D13,Java Road Sports Centre,19:00:00,,11,19/12/2025,13C
Vitality Squash 2,v,Smart Squash 2,Java Road Sports Centre,19:00:00,,11,19/12/2025,13C
NEXUS 3,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,11,19/12/2025,13C
i-Mask Advance Squash Club 7,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,11,19/12/2025,13C
Smart Squash 3,v,[BYE],,,,11,19/12/2025,13C
Smart Squash 3,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026,13C
JSA 1,v,Vitality Squash 2,Harbour Road Sports Centre,19:00:00,,12,09/01/2026,13C
Smart Squash 2,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026,13C
i-Mask Advance Squash Club 7,v,NEXUS 3,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026,13C
Bravo D13,v,[BYE],,,,12,09/01/2026,13C
i-Mask Advance Squash Club 7,v,Smart Squash 3,Cornwall Street Squash Centre,19:00:00,,13,16/01/2026,13C
Bravo D13,v,Smart Squash 2,Yuen Long Jockey Club Squash Courts,19:00:00,,13,16/01/2026,13C
HKIS Div 13,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00:00,,13,16/01/2026,13C
NEXUS 3,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,13,16/01/2026,13C
JSA 1,v,[BYE],,,,13,16/01/2026,13C
NEXUS 3,v,Smart Squash 2,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026,13C
i-Mask Advance Squash Club 7,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026,13C
i-Mask Advance Squash Club 6,v,JSA 1,HK Squash Centre,19:00:00,,14,23/01/2026,13C
Smart Squash 3,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026,13C
HKIS Div 13,v,[BYE],,,,14,23/01/2026,13C
Vitality Squash 2,v,HKIS Div 13,HK Squash Centre,19:00:00,,15,30/01/2026,13C
i-Mask Advance Squash Club 6,v,Smart Squash 2,HK Squash Centre,19:00:00,,15,30/01/2026,13C
Bravo D13,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,,15,30/01/2026,13C
Smart Squash 3,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,15,30/01/2026,13C
NEXUS 3,v,[BYE],,,,15,30/01/2026,13C
HKIS Div 13,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,,16,06/02/2026,13C
NEXUS 3,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,16,06/02/2026,13C
Vitality Squash 2,v,Smart Squash 3,HK Squash Centre,19:00:00,,16,06/02/2026,13C
i-Mask Advance Squash Club 6,v,Bravo D13,Java Road Sports Centre,19:00:00,,16,06/02/2026,13C
Smart Squash 2,v,[BYE],,,,16,06/02/2026,13C
Bravo D13,v,Vitality Squash 2,Yuen Long Jockey Club Squash Courts,19:00:00,,17,13/02/2026,13C
Smart Squash 3,v,NEXUS 3,Cornwall Street Squash Centre,19:00:00,,17,13/02/2026,13C
JSA 1,v,HKIS Div 13,HK Squash Centre,19:00:00,,17,13/02/2026,13C
i-Mask Advance Squash Club 7,v,Smart Squash 2,Cornwall Street Squash Centre,19:00:00,,17,13/02/2026,13C
i-Mask Advance Squash Club 6,v,[BYE],,,,17,13/02/2026,13C
Smart Squash 2,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,18,06/03/2026,13C
HKIS Div 13,v,Smart Squash 3,HK Squash Centre,19:00:00,,18,06/03/2026,13C
Bravo D13,v,NEXUS 3,Yuen Long Jockey Club Squash Courts,19:00:00,,18,06/03/2026,13C
Vitality Squash 2,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00:00,,18,06/03/2026,13C
i-Mask Advance Squash Club 7,v,[BYE],,,,18,06/03/2026,13C
Fusion Squash Club 4,v,RELAY 2,HK Squash Centre,17:00:00,,1,04/10/2025,14
Royal Hong Kong Yacht Club Div 14,v,TKO Junior 1,Royal Hong Kong Yacht Club,17:00:00,,1,04/10/2025,14
Physical Chess 5,v,North District Sports Association 2,Cornwall Street Squash Centre,17:00:00,,1,04/10/2025,14
8 Virtues + 1,v,TNG 3,Java Road Sports Centre,17:00:00,,1,04/10/2025,14
Squash-On,v,Hong Kong Football Club 14,HK Squash Centre,17:00:00,,1,04/10/2025,14
The Squash Club 4,v,Ladies Recreation Club Div 14,Pei Ho Street Sports Centre,17:00:00,,1,04/10/2025,14
The Squash Club 4,v,Squash-On,Pei Ho Street Sports Centre,17:00:00,,2,11/10/2025,14
Hong Kong Football Club 14,v,8 Virtues + 1,Hong Kong Football Club,17:00:00,,2,11/10/2025,14
TNG 3,v,Physical Chess 5,Cornwall Street Squash Centre,17:00:00,,2,11/10/2025,14
North District Sports Association 2,v,Royal Hong Kong Yacht Club Div 14,Cornwall Street Squash Centre,17:00:00,,2,11/10/2025,14
TKO Junior 1,v,RELAY 2,Cornwall Street Squash Centre,17:00:00,,2,11/10/2025,14
Ladies Recreation Club Div 14,v,Fusion Squash Club 4,Ladies Recreation Club,17:00:00,,2,11/10/2025,14
TKO Junior 1,v,Fusion Squash Club 4,Cornwall Street Squash Centre,17:00:00,,3,18/10/2025,14
RELAY 2,v,North District Sports Association 2,Cornwall Street Squash Centre,17:00:00,,3,18/10/2025,14
Royal Hong Kong Yacht Club Div 14,v,TNG 3,Royal Hong Kong Yacht Club,17:00:00,,3,18/10/2025,14
Hong Kong Football Club 14,v,Physical Chess 5,Hong Kong Football Club,17:00:00,,3,18/10/2025,14
8 Virtues + 1,v,The Squash Club 4,Java Road Sports Centre,17:00:00,,3,18/10/2025,14
Squash-On,v,Ladies Recreation Club Div 14,HK Squash Centre,17:00:00,,3,18/10/2025,14
Squash-On,v,8 Virtues + 1,HK Squash Centre,17:00:00,,4,25/10/2025,14
Physical Chess 5,v,The Squash Club 4,Cornwall Street Squash Centre,17:00:00,,4,25/10/2025,14
Hong Kong Football Club 14,v,Royal Hong Kong Yacht Club Div 14,Hong Kong Football Club,17:00:00,,4,25/10/2025,14
TNG 3,v,RELAY 2,Cornwall Street Squash Centre,17:00:00,,4,25/10/2025,14
North District Sports Association 2,v,Fusion Squash Club 4,Pei Ho Street Sports Centre,17:00:00,,4,25/10/2025,14
Ladies Recreation Club Div 14,v,TKO Junior 1,Ladies Recreation Club,17:00:00,,4,25/10/2025,14
TKO Junior 1,v,North District Sports Association 2,Cornwall Street Squash Centre,17:00:00,,5,22/11/2025,14
Fusion Squash Club 4,v,TNG 3,HK Squash Centre,17:00:00,,5,22/11/2025,14
RELAY 2,v,Hong Kong Football Club 14,Sir Denys Roberts Squash Court,17:00:00,,5,22/11/2025,14
Royal Hong Kong Yacht Club Div 14,v,The Squash Club 4,Royal Hong Kong Yacht Club,17:00:00,,5,22/11/2025,14
Physical Chess 5,v,Squash-On,Cornwall Street Squash Centre,17:00:00,,5,22/11/2025,14
8 Virtues + 1,v,Ladies Recreation Club Div 14,Java Road Sports Centre,17:00:00,,5,22/11/2025,14
Physical Chess 5,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00:00,,6,29/11/2025,14
Squash-On,v,Royal Hong Kong Yacht Club Div 14,Cornwall Street Squash Centre,17:00:00,,6,29/11/2025,14
The Squash Club 4,v,RELAY 2,Pei Ho Street Sports Centre,17:00:00,,6,29/11/2025,14
Hong Kong Football Club 14,v,Fusion Squash Club 4,Harbour Road Sports Centre,17:00:00,,6,29/11/2025,14
TNG 3,v,TKO Junior 1,Cornwall Street Squash Centre,17:00:00,,6,29/11/2025,14
Ladies Recreation Club Div 14,v,North District Sports Association 2,Ladies Recreation Club,17:00:00,,6,29/11/2025,14
North District Sports Association 2,v,TNG 3,Pei Ho Street Sports Centre,17:00:00,,7,13/12/2025,14
Hong Kong Football Club 14,v,TKO Junior 1,Hong Kong Football Club,17:00:00,,7,13/12/2025,14
Fusion Squash Club 4,v,The Squash Club 4,HK Squash Centre,17:00:00,,7,13/12/2025,14
RELAY 2,v,Squash-On,Sir Denys Roberts Squash Court,17:00:00,,7,13/12/2025,14
Royal Hong Kong Yacht Club Div 14,v,8 Virtues + 1,Royal Hong Kong Yacht Club,17:00:00,,7,13/12/2025,14
Physical Chess 5,v,Ladies Recreation Club Div 14,Cornwall Street Squash Centre,17:00:00,,7,13/12/2025,14
Physical Chess 5,v,Royal Hong Kong Yacht Club Div 14,Cornwall Street Squash Centre,17:00:00,,8,20/12/2025,14
RELAY 2,v,8 Virtues + 1,Sir Denys Roberts Squash Court,17:00:00,,8,20/12/2025,14
Squash-On,v,Fusion Squash Club 4,Java Road Sports Centre,17:00:00,,8,20/12/2025,14
The Squash Club 4,v,TKO Junior 1,Pei Ho Street Sports Centre,17:00:00,,8,20/12/2025,14
North District Sports Association 2,v,Hong Kong Football Club 14,Cornwall Street Squash Centre,17:00:00,,8,20/12/2025,14
Ladies Recreation Club Div 14,v,TNG 3,Ladies Recreation Club,17:00:00,,8,20/12/2025,14
Hong Kong Football Club 14,v,TNG 3,Hong Kong Football Club,17:00:00,,9,10/01/2026,14
North District Sports Association 2,v,The Squash Club 4,Pei Ho Street Sports Centre,17:00:00,,9,10/01/2026,14
Squash-On,v,TKO Junior 1,HK Squash Centre,17:00:00,,9,10/01/2026,14
Fusion Squash Club 4,v,8 Virtues + 1,HK Squash Centre,17:00:00,,9,10/01/2026,14
RELAY 2,v,Physical Chess 5,Sir Denys Roberts Squash Court,17:00:00,,9,10/01/2026,14
Royal Hong Kong Yacht Club Div 14,v,Ladies Recreation Club Div 14,Royal Hong Kong Yacht Club,17:00:00,,9,10/01/2026,14
RELAY 2,v,Royal Hong Kong Yacht Club Div 14,Sir Denys Roberts Squash Court,17:00:00,,10,17/01/2026,14
Physical Chess 5,v,Fusion Squash Club 4,Cornwall Street Squash Centre,17:00:00,,10,17/01/2026,14
TKO Junior 1,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00:00,,10,17/01/2026,14
Squash-On,v,North District Sports Association 2,HK Squash Centre,17:00:00,,10,17/01/2026,14
The Squash Club 4,v,TNG 3,Cornwall Street Squash Centre,17:00:00,,10,17/01/2026,14
Ladies Recreation Club Div 14,v,Hong Kong Football Club 14,Ladies Recreation Club,17:00:00,,10,17/01/2026,14
Hong Kong Football Club 14,v,The Squash Club 4,Hong Kong Football Club,17:00:00,,11,24/01/2026,14
Squash-On,v,TNG 3,HK Squash Centre,17:00:00,,11,24/01/2026,14
North District Sports Association 2,v,8 Virtues + 1,Pei Ho Street Sports Centre,17:00:00,,11,24/01/2026,14
TKO Junior 1,v,Physical Chess 5,Cornwall Street Squash Centre,17:00:00,,11,24/01/2026,14
Fusion Squash Club 4,v,Royal Hong Kong Yacht Club Div 14,HK Squash Centre,17:00:00,,11,24/01/2026,14
RELAY 2,v,Ladies Recreation Club Div 14,Sir Denys Roberts Squash Court,17:00:00,,11,24/01/2026,14
RELAY 2,v,Fusion Squash Club 4,Sir Denys Roberts Squash Court,17:00:00,,12,31/01/2026,14
TKO Junior 1,v,Royal Hong Kong Yacht Club Div 14,Cornwall Street Squash Centre,17:00:00,,12,31/01/2026,14
North District Sports Association 2,v,Physical Chess 5,Cornwall Street Squash Centre,17:00:00,,12,31/01/2026,14
TNG 3,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00:00,,12,31/01/2026,14
Hong Kong Football Club 14,v,Squash-On,Hong Kong Football Club,17:00:00,,12,31/01/2026,14
Ladies Recreation Club Div 14,v,The Squash Club 4,Ladies Recreation Club,17:00:00,,12,31/01/2026,14
Squash-On,v,The Squash Club 4,HK Squash Centre,17:00:00,,13,07/02/2026,14
8 Virtues + 1,v,Hong Kong Football Club 14,Java Road Sports Centre,17:00:00,,13,07/02/2026,14
Physical Chess 5,v,TNG 3,Cornwall Street Squash Centre,17:00:00,,13,07/02/2026,14
Royal Hong Kong Yacht Club Div 14,v,North District Sports Association 2,Royal Hong Kong Yacht Club,17:00:00,,13,07/02/2026,14
RELAY 2,v,TKO Junior 1,Sir Denys Roberts Squash Court,17:00:00,,13,07/02/2026,14
Fusion Squash Club 4,v,Ladies Recreation Club Div 14,HK Squash Centre,17:00:00,,13,07/02/2026,14
Fusion Squash Club 4,v,TKO Junior 1,HK Squash Centre,17:00:00,,14,14/02/2026,14
North District Sports Association 2,v,RELAY 2,Pei Ho Street Sports Centre,17:00:00,,14,14/02/2026,14
TNG 3,v,Royal Hong Kong Yacht Club Div 14,Cornwall Street Squash Centre,17:00:00,,14,14/02/2026,14
Physical Chess 5,v,Hong Kong Football Club 14,Cornwall Street Squash Centre,17:00:00,,14,14/02/2026,14
The Squash Club 4,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00:00,,14,14/02/2026,14
Ladies Recreation Club Div 14,v,Squash-On,Ladies Recreation Club,17:00:00,,14,14/02/2026,14
8 Virtues + 1,v,Squash-On,HK Squash Centre,17:00:00,,15,07/03/2026,14
The Squash Club 4,v,Physical Chess 5,Pei Ho Street Sports Centre,17:00:00,,15,07/03/2026,14
Royal Hong Kong Yacht Club Div 14,v,Hong Kong Football Club 14,Royal Hong Kong Yacht Club,17:00:00,,15,07/03/2026,14
RELAY 2,v,TNG 3,Sir Denys Roberts Squash Court,17:00:00,,15,07/03/2026,14
Fusion Squash Club 4,v,North District Sports Association 2,HK Squash Centre,17:00:00,,15,07/03/2026,14
TKO Junior 1,v,Ladies Recreation Club Div 14,Cornwall Street Squash Centre,17:00:00,,15,07/03/2026,14
North District Sports Association 2,v,TKO Junior 1,Cornwall Street Squash Centre,17:00:00,,16,14/03/2026,14
TNG 3,v,Fusion Squash Club 4,Cornwall Street Squash Centre,17:00:00,,16,14/03/2026,14
Hong Kong Football Club 14,v,RELAY 2,Hong Kong Football Club,17:00:00,,16,14/03/2026,14
The Squash Club 4,v,Royal Hong Kong Yacht Club Div 14,Cornwall Street Squash Centre,17:00:00,,16,14/03/2026,14
Squash-On,v,Physical Chess 5,HK Squash Centre,17:00:00,,16,14/03/2026,14
Ladies Recreation Club Div 14,v,8 Virtues + 1,Ladies Recreation Club,17:00:00,,16,14/03/2026,14
8 Virtues + 1,v,Physical Chess 5,HK Squash Centre,17:00:00,,17,21/03/2026,14
Royal Hong Kong Yacht Club Div 14,v,Squash-On,Royal Hong Kong Yacht Club,17:00:00,,17,21/03/2026,14
RELAY 2,v,The Squash Club 4,Sir Denys Roberts Squash Court,17:00:00,,17,21/03/2026,14
Fusion Squash Club 4,v,Hong Kong Football Club 14,HK Squash Centre,17:00:00,,17,21/03/2026,14
TKO Junior 1,v,TNG 3,Cornwall Street Squash Centre,17:00:00,,17,21/03/2026,14
North District Sports Association 2,v,Ladies Recreation Club Div 14,Pei Ho Street Sports Centre,17:00:00,,17,21/03/2026,14
TNG 3,v,North District Sports Association 2,Cornwall Street Squash Centre,17:00:00,,18,28/03/2026,14
TKO Junior 1,v,Hong Kong Football Club 14,Cornwall Street Squash Centre,17:00:00,,18,28/03/2026,14
The Squash Club 4,v,Fusion Squash Club 4,Pei Ho Street Sports Centre,17:00:00,,18,28/03/2026,14
Squash-On,v,RELAY 2,HK Squash Centre,17:00:00,,18,28/03/2026,14
8 Virtues + 1,v,Royal Hong Kong Yacht Club Div 14,Java Road Sports Centre,17:00:00,,18,28/03/2026,14
Ladies Recreation Club Div 14,v,Physical Chess 5,Ladies Recreation Club,17:00:00,,18,28/03/2026,14
Royal Hong Kong Yacht Club Div 14,v,Physical Chess 5,Royal Hong Kong Yacht Club,17:00:00,,19,11/04/2026,14
8 Virtues + 1,v,RELAY 2,Java Road Sports Centre,17:00:00,,19,11/04/2026,14
Fusion Squash Club 4,v,Squash-On,HK Squash Centre,17:00:00,,19,11/04/2026,14
TKO Junior 1,v,The Squash Club 4,Cornwall Street Squash Centre,17:00:00,,19,11/04/2026,14
Hong Kong Football Club 14,v,North District Sports Association 2,Hong Kong Football Club,17:00:00,,19,11/04/2026,14
TNG 3,v,Ladies Recreation Club Div 14,Cornwall Street Squash Centre,17:00:00,,19,11/04/2026,14
TNG 3,v,Hong Kong Football Club 14,Cornwall Street Squash Centre,17:00:00,,20,18/04/2026,14
The Squash Club 4,v,North District Sports Association 2,Pei Ho Street Sports Centre,17:00:00,,20,18/04/2026,14
TKO Junior 1,v,Squash-On,Cornwall Street Squash Centre,17:00:00,,20,18/04/2026,14
8 Virtues + 1,v,Fusion Squash Club 4,Java Road Sports Centre,17:00:00,,20,18/04/2026,14
Physical Chess 5,v,RELAY 2,Cornwall Street Squash Centre,17:00:00,,20,18/04/2026,14
Ladies Recreation Club Div 14,v,Royal Hong Kong Yacht Club Div 14,Ladies Recreation Club,17:00:00,,20,18/04/2026,14
Royal Hong Kong Yacht Club Div 14,v,RELAY 2,Royal Hong Kong Yacht Club,17:00:00,,21,25/04/2026,14
Fusion Squash Club 4,v,Physical Chess 5,HK Squash Centre,17:00:00,,21,25/04/2026,14
8 Virtues + 1,v,TKO Junior 1,Java Road Sports Centre,17:00:00,,21,25/04/2026,14
North District Sports Association 2,v,Squash-On,Pei Ho Street Sports Centre,17:00:00,,21,25/04/2026,14
TNG 3,v,The Squash Club 4,Cornwall Street Squash Centre,17:00:00,,21,25/04/2026,14
Hong Kong Football Club 14,v,Ladies Recreation Club Div 14,Hong Kong Football Club,17:00:00,,21,25/04/2026,14
The Squash Club 4,v,Hong Kong Football Club 14,Cornwall Street Squash Centre,17:00:00,,22,02/05/2026,14
TNG 3,v,Squash-On,Cornwall Street Squash Centre,17:00:00,,22,02/05/2026,14
8 Virtues + 1,v,North District Sports Association 2,Java Road Sports Centre,17:00:00,,22,02/05/2026,14
Physical Chess 5,v,TKO Junior 1,Cornwall Street Squash Centre,17:00:00,,22,02/05/2026,14
Royal Hong Kong Yacht Club Div 14,v,Fusion Squash Club 4,Royal Hong Kong Yacht Club,17:00:00,,22,02/05/2026,14
Ladies Recreation Club Div 14,v,RELAY 2,Ladies Recreation Club,17:00:00,,22,02/05/2026,14
TKO Junior 2,v,NEXUS 4,Cornwall Street Squash Centre,17:00:00,,1,04/10/2025,15A
Electrify Squash Div 15,v,RC,HK Squash Centre,17:00:00,,1,04/10/2025,15A
Dream Catchers,v,Squashathon Junior,HK Squash Centre,17:00:00,,1,04/10/2025,15A
Vitality Squash 3,v,Happy Squash 5,HK Squash Centre,17:00:00,,1,04/10/2025,15A
Vitality Squash 3,v,Dream Catchers,HK Squash Centre,17:00:00,,2,11/10/2025,15A
Squashathon Junior,v,Electrify Squash Div 15,Cornwall Street Squash Centre,17:00:00,,2,11/10/2025,15A
RC,v,TKO Junior 2,HK Squash Centre,17:00:00,,2,11/10/2025,15A
Happy Squash 5,v,NEXUS 4,Cornwall Street Squash Centre,17:00:00,,2,11/10/2025,15A
NEXUS 4,v,RC,Cornwall Street Squash Centre,17:00:00,,3,18/10/2025,15A
TKO Junior 2,v,Squashathon Junior,Cornwall Street Squash Centre,17:00:00,,3,18/10/2025,15A
Electrify Squash Div 15,v,Vitality Squash 3,HK Squash Centre,17:00:00,,3,18/10/2025,15A
Dream Catchers,v,Happy Squash 5,HK Squash Centre,17:00:00,,3,18/10/2025,15A
Dream Catchers,v,Electrify Squash Div 15,Java Road Sports Centre,17:00:00,,4,25/10/2025,15A
Vitality Squash 3,v,TKO Junior 2,HK Squash Centre,17:00:00,,4,25/10/2025,15A
Squashathon Junior,v,NEXUS 4,Cornwall Street Squash Centre,17:00:00,,4,25/10/2025,15A
Happy Squash 5,v,RC,Cornwall Street Squash Centre,17:00:00,,4,25/10/2025,15A
RC,v,Squashathon Junior,HK Squash Centre,17:00:00,,5,22/11/2025,15A
NEXUS 4,v,Vitality Squash 3,Cornwall Street Squash Centre,17:00:00,,5,22/11/2025,15A
TKO Junior 2,v,Dream Catchers,Cornwall Street Squash Centre,17:00:00,,5,22/11/2025,15A
Electrify Squash Div 15,v,Happy Squash 5,HK Squash Centre,17:00:00,,5,22/11/2025,15A
Electrify Squash Div 15,v,TKO Junior 2,Cornwall Street Squash Centre,17:00:00,,6,29/11/2025,15A
Dream Catchers,v,NEXUS 4,Java Road Sports Centre,17:00:00,,6,29/11/2025,15A
Vitality Squash 3,v,RC,Cornwall Street Squash Centre,17:00:00,,6,29/11/2025,15A
Happy Squash 5,v,Squashathon Junior,Cornwall Street Squash Centre,17:00:00,,6,29/11/2025,15A
Squashathon Junior,v,Vitality Squash 3,Cornwall Street Squash Centre,17:00:00,,7,13/12/2025,15A
RC,v,Dream Catchers,HK Squash Centre,17:00:00,,7,13/12/2025,15A
NEXUS 4,v,Electrify Squash Div 15,Cornwall Street Squash Centre,17:00:00,,7,13/12/2025,15A
TKO Junior 2,v,Happy Squash 5,Cornwall Street Squash Centre,17:00:00,,7,13/12/2025,15A
NEXUS 4,v,TKO Junior 2,Cornwall Street Squash Centre,17:00:00,,8,20/12/2025,15A
